Symbol	Name	Sector	SEC Filings
MMM	3M Company	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
ABT	Abbott Laboratories	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
ABBV	AbbVie	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV
ACN	Accenture plc	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
ATVI	Activision Blizzard	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI
AYI	Acuity Brands Inc	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AYI
ADBE	Adobe Systems Inc	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE
AAP	Advance Auto Parts	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP
AES	AES Corp	Utilities	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES
AET	Aetna Inc	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET
AMG	Affiliated Managers Group Inc	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMG
AFL	AFLAC Inc	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL
A	Agilent Technologies Inc	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A
APD	Air Products & Chemicals Inc	Materials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD
AKAM	Akamai Technologies Inc	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM
ALK	Alaska Air Group Inc	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALK
ALB	Albemarle Corp	Materials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB
ALXN	Alexion Pharmaceuticals	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALXN
ALLE	Allegion	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE
AGN	"Allergan, Plc"	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AGN
ADS	Alliance Data Systems	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADS
LNT	Alliant Energy Corp	Utilities	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNT
ALL	Allstate Corp	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL
GOOGL	Alphabet Inc Class A	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL
GOOG	Alphabet Inc Class C	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOG
MO	Altria Group Inc	Consumer Staples	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO
AMZN	Amazon.com Inc	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN
AEE	Ameren Corp	Utilities	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEE
